time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-17 00:00:00+00:00,2.0,1.0,58,10
2024-09-18 00:00:00+00:00,,,13,4
2024-09-19 00:00:00+00:00,3.0,1.0,10,4
2024-09-20 00:00:00+00:00,6.0,6.0,14,6
2024-09-21 00:00:00+00:00,,,43,8
2024-09-22 00:00:00+00:00,1.0,1.0,14,4
2024-09-23 00:00:00+00:00,4.0,3.0,41,3
2024-09-24 00:00:00+00:00,,,45,8
2024-09-25 00:00:00+00:00,6.0,4.0,77,8
2024-09-26 00:00:00+00:00,3.0,1.0,22,6
2024-09-27 00:00:00+00:00,,,34,8
2024-09-28 00:00:00+00:00,,,20,5
2024-09-29 00:00:00+00:00,2.0,1.0,27,5
2024-09-30 00:00:00+00:00,,,12,5
