time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-21 00:00:00+00:00,2.0,2.0,14,8
2025-05-22 00:00:00+00:00,3.0,2.0,87,15
2025-05-23 00:00:00+00:00,4.0,4.0,60,21
2025-05-24 00:00:00+00:00,1.0,1.0,23,7
2025-05-25 00:00:00+00:00,1.0,1.0,24,7
2025-05-26 00:00:00+00:00,1.0,1.0,61,8
2025-05-27 00:00:00+00:00,1.0,1.0,15,9
2025-05-28 00:00:00+00:00,5.0,2.0,15,10
2025-05-29 00:00:00+00:00,1.0,1.0,44,11
2025-05-30 00:00:00+00:00,1.0,1.0,26,9
2025-05-31 00:00:00+00:00,1.0,1.0,2,2
2025-06-01 00:00:00+00:00,2.0,2.0,40,10
2025-06-02 00:00:00+00:00,6.0,3.0,52,9
2025-06-03 00:00:00+00:00,,,40,12
