time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-03 00:00:00+00:00,7,7,7,4
2025-10-04 00:00:00+00:00,5,5,25,10
2025-10-05 00:00:00+00:00,5,5,11,4
2025-10-06 00:00:00+00:00,7,7,38,13
2025-10-07 00:00:00+00:00,5,5,14,10
2025-10-08 00:00:00+00:00,4,4,22,11
2025-10-09 00:00:00+00:00,1,1,21,6
2025-10-10 00:00:00+00:00,4,4,45,4
2025-10-11 00:00:00+00:00,1,1,20,7
2025-10-12 00:00:00+00:00,1,1,38,11
2025-10-13 00:00:00+00:00,6,5,66,16
2025-10-14 00:00:00+00:00,21,5,65,10
2025-10-15 00:00:00+00:00,16,5,57,18
2025-10-16 00:00:00+00:00,2,2,7,2
